year,level_1,level_2,value
2015,Total,"Total",1225.3
2015,Total,"HDB Dwellings",981.1
2015,Total,"Condominiums And Other Apartments",170.8
2015,Total,"Landed Properties",69.2
2015,Total,"Others",4.2
2015,Below 30 Years,"Total",24.3
2015,Below 30 Years,"HDB Dwellings",19.8
2015,Below 30 Years,"Condominiums And Other Apartments",4.1
2015,Below 30 Years,"Landed Properties",0.4
2015,Below 30 Years,"Others",0.1
2015,30 - 34 Years,"Total",74.6
2015,30 - 34 Years,"HDB Dwellings",61.9
2015,30 - 34 Years,"Condominiums And Other Apartments",11.5
2015,30 - 34 Years,"Landed Properties",0.8
2015,30 - 34 Years,"Others",0.3
2015,35 - 39 Years,"Total",118.3
2015,35 - 39 Years,"HDB Dwellings",93.4
2015,35 - 39 Years,"Condominiums And Other Apartments",21.6
2015,35 - 39 Years,"Landed Properties",2.6
2015,35 - 39 Years,"Others",0.6
2015,40 - 44 Years,"Total",150.2
2015,40 - 44 Years,"HDB Dwellings",115.7
2015,40 - 44 Years,"Condominiums And Other Apartments",28.6
2015,40 - 44 Years,"Landed Properties",5.5
2015,40 - 44 Years,"Others",0.3
2015,45 - 49 Years,"Total",156.5
2015,45 - 49 Years,"HDB Dwellings",121.6
2015,45 - 49 Years,"Condominiums And Other Apartments",27.2
2015,45 - 49 Years,"Landed Properties",7.3
2015,45 - 49 Years,"Others",0.3
2015,50 - 54 Years,"Total",175.1
2015,50 - 54 Years,"HDB Dwellings",138.9
2015,50 - 54 Years,"Condominiums And Other Apartments",25.4
2015,50 - 54 Years,"Landed Properties",10.2
2015,50 - 54 Years,"Others",0.5
2015,55 - 59 Years,"Total",166.6
2015,55 - 59 Years,"HDB Dwellings",134.3
2015,55 - 59 Years,"Condominiums And Other Apartments",20.9
2015,55 - 59 Years,"Landed Properties",11
2015,55 - 59 Years,"Others",0.4
2015,60 - 64 Years,"Total",138.6
2015,60 - 64 Years,"HDB Dwellings",113.8
2015,60 - 64 Years,"Condominiums And Other Apartments",13.7
2015,60 - 64 Years,"Landed Properties",10.6
2015,60 - 64 Years,"Others",0.5
2015,65 - 69 Years,"Total",94
2015,65 - 69 Years,"HDB Dwellings",77.2
2015,65 - 69 Years,"Condominiums And Other Apartments",9.1
2015,65 - 69 Years,"Landed Properties",7.6
2015,65 - 69 Years,"Others",0.2
2015,70 - 74 Years,"Total",52.2
2015,70 - 74 Years,"HDB Dwellings",43.6
2015,70 - 74 Years,"Condominiums And Other Apartments",3.4
2015,70 - 74 Years,"Landed Properties",5.1
2015,70 - 74 Years,"Others",0.2
2015,75 Years & Over,"Total",75
2015,75 Years & Over,"HDB Dwellings",60.8
2015,75 Years & Over,"Condominiums And Other Apartments",5.4
2015,75 Years & Over,"Landed Properties",8
2015,75 Years & Over,"Others",0.7